ID,Produto,Categoria,Preco,Quantidade,Data_Venda,Vendedor,Total_Vendas
1440,Produto B,Categoria 2,31.57,16,2026-12-10,Vendedor 1,505.12
1441,Produto B,Categoria 2,43.53,4,2026-12-11,Vendedor 1,174.12
1442,Produto B,Categoria 1,30.73,8,2026-12-12,Vendedor 3,245.84
1443,Produto B,Categoria 3,60.49,2,2026-12-13,Vendedor 1,120.98
1444,Produto C,Categoria 3,22.1,14,2026-12-14,Vendedor 1,309.40000000000003
1445,Produto A,Categoria 1,38.82,15,2026-12-15,Vendedor 2,582.3
1446,Produto C,Categoria 1,92.21,9,2026-12-16,Vendedor 2,829.89
1447,Produto A,Categoria 3,46.83,2,2026-12-17,Vendedor 3,93.66
1448,Produto C,Categoria 2,77.34,17,2026-12-18,Vendedor 3,1314.78
1449,Produto B,Categoria 2,20.21,10,2026-12-19,Vendedor 3,202.10000000000002
1450,Produto A,Categoria 3,32.28,9,2026-12-20,Vendedor 3,290.52
1451,Produto A,Categoria 2,82.66,2,2026-12-21,Vendedor 2,165.32
1452,Produto C,Categoria 1,78.67,19,2026-12-22,Vendedor 3,1494.73
1453,Produto C,Categoria 2,44.75,17,2026-12-23,Vendedor 3,760.75
1454,Produto A,Categoria 2,95.9,11,2026-12-24,Vendedor 1,1054.9
1455,Produto C,Categoria 2,91.96,17,2026-12-25,Vendedor 3,1563.32
1456,Produto C,Categoria 3,96.61,10,2026-12-26,Vendedor 1,966.1
1457,Produto C,Categoria 1,48.51,18,2026-12-27,Vendedor 2,873.18
1458,Produto B,Categoria 2,27.77,6,2026-12-28,Vendedor 3,166.62
1459,Produto B,Categoria 3,66.4,16,2026-12-29,Vendedor 1,1062.4
1460,Produto C,Categoria 2,71.63,18,2026-12-30,Vendedor 3,1289.34
1461,Produto C,Categoria 1,21.29,18,2026-12-31,Vendedor 1,383.21999999999997
1462,Produto B,Categoria 2,80.78,1,2027-01-01,Vendedor 3,80.78
1463,Produto B,Categoria 1,11.63,3,2027-01-02,Vendedor 2,34.89
1464,Produto A,Categoria 2,53.45,15,2027-01-03,Vendedor 2,801.75
1465,Produto A,Categoria 1,39.79,10,2027-01-04,Vendedor 1,397.9
1466,Produto B,Categoria 2,76.63,5,2027-01-05,Vendedor 1,383.15
1467,Produto C,Categoria 1,38.15,15,2027-01-06,Vendedor 2,572.25
1468,Produto C,Categoria 2,84.41,14,2027-01-07,Vendedor 3,1181.74
1469,Produto C,Categoria 2,63.55,15,2027-01-08,Vendedor 1,953.25
1470,Produto C,Categoria 3,81.45,10,2027-01-09,Vendedor 2,814.5
1471,Produto A,Categoria 3,99.04,9,2027-01-10,Vendedor 1,891.36
1472,Produto B,Categoria 1,71.12,12,2027-01-11,Vendedor 2,853.44
1473,Produto C,Categoria 2,98.65,7,2027-01-12,Vendedor 2,690.5500000000001
1474,Produto A,Categoria 1,12.6,5,2027-01-13,Vendedor 1,63.0
1475,Produto C,Categoria 3,40.43,10,2027-01-14,Vendedor 1,404.3
1476,Produto B,Categoria 1,19.71,8,2027-01-15,Vendedor 2,157.68
1477,Produto A,Categoria 1,33.61,16,2027-01-16,Vendedor 3,537.76
1478,Produto B,Categoria 3,85.5,12,2027-01-17,Vendedor 2,1026.0
1479,Produto B,Categoria 2,12.91,9,2027-01-18,Vendedor 3,116.19
1480,Produto A,Categoria 1,56.82,10,2027-01-19,Vendedor 3,568.2
1481,Produto A,Categoria 3,61.04,16,2027-01-20,Vendedor 3,976.64
1482,Produto A,Categoria 2,60.5,10,2027-01-21,Vendedor 1,605.0
1483,Produto A,Categoria 3,52.78,9,2027-01-22,Vendedor 2,475.02
1484,Produto A,Categoria 1,81.15,3,2027-01-23,Vendedor 2,243.45000000000002
1485,Produto A,Categoria 2,22.02,19,2027-01-24,Vendedor 3,418.38
1486,Produto A,Categoria 2,37.95,11,2027-01-25,Vendedor 3,417.45000000000005
1487,Produto C,Categoria 3,65.42,6,2027-01-26,Vendedor 3,392.52
1488,Produto B,Categoria 3,72.19,6,2027-01-27,Vendedor 2,433.14
1489,Produto A,Categoria 3,46.37,15,2027-01-28,Vendedor 3,695.55
1490,Produto C,Categoria 2,88.78,15,2027-01-29,Vendedor 2,1331.7
1491,Produto C,Categoria 2,47.39,13,2027-01-30,Vendedor 2,616.07
1492,Produto C,Categoria 1,46.25,5,2027-01-31,Vendedor 1,231.25
1493,Produto B,Categoria 2,13.26,14,2027-02-01,Vendedor 3,185.64
1494,Produto A,Categoria 1,59.6,2,2027-02-02,Vendedor 3,119.2
1495,Produto C,Categoria 3,73.78,12,2027-02-03,Vendedor 3,885.36
1496,Produto B,Categoria 3,20.3,14,2027-02-04,Vendedor 1,284.2
1497,Produto B,Categoria 2,37.49,19,2027-02-05,Vendedor 3,712.3100000000001
1498,Produto B,Categoria 3,80.31,15,2027-02-06,Vendedor 2,1204.65
1499,Produto C,Categoria 3,42.93,17,2027-02-07,Vendedor 3,729.81
1500,Produto A,Categoria 2,31.74,14,2027-02-08,Vendedor 2,444.35999999999996
1501,Produto C,Categoria 1,70.5,18,2027-02-09,Vendedor 2,1269.0
1502,Produto C,Categoria 2,27.71,5,2027-02-10,Vendedor 2,138.55
1503,Produto A,Categoria 1,90.61,12,2027-02-11,Vendedor 2,1087.32
1504,Produto A,Categoria 2,19.5,10,2027-02-12,Vendedor 3,195.0
1505,Produto A,Categoria 2,73.59,8,2027-02-13,Vendedor 1,588.72
1506,Produto B,Categoria 3,54.96,6,2027-02-14,Vendedor 1,329.76
1507,Produto A,Categoria 2,88.29,15,2027-02-15,Vendedor 2,1324.3500000000001
1508,Produto C,Categoria 2,21.36,12,2027-02-16,Vendedor 3,256.32
1509,Produto A,Categoria 1,71.01,6,2027-02-17,Vendedor 1,426.06000000000006
1510,Produto C,Categoria 3,61.48,12,2027-02-18,Vendedor 3,737.76
1511,Produto B,Categoria 1,53.21,15,2027-02-19,Vendedor 1,798.15
1512,Produto C,Categoria 1,54.23,12,2027-02-20,Vendedor 2,650.76
1513,Produto C,Categoria 3,74.98,9,2027-02-21,Vendedor 2,674.82
1514,Produto A,Categoria 3,94.4,19,2027-02-22,Vendedor 2,1793.6000000000001
1515,Produto A,Categoria 3,18.21,2,2027-02-23,Vendedor 1,36.42
1516,Produto C,Categoria 2,11.76,13,2027-02-24,Vendedor 3,152.88
1517,Produto A,Categoria 3,82.51,13,2027-02-25,Vendedor 2,1072.63
1518,Produto B,Categoria 3,19.74,8,2027-02-26,Vendedor 3,157.92
1519,Produto B,Categoria 3,98.8,13,2027-02-27,Vendedor 3,1284.3999999999999
1520,Produto A,Categoria 1,65.74,4,2027-02-28,Vendedor 2,262.96
1521,Produto B,Categoria 1,68.58,6,2027-03-01,Vendedor 1,411.48
1522,Produto A,Categoria 2,27.9,6,2027-03-02,Vendedor 2,167.39999999999998
1523,Produto C,Categoria 1,31.63,12,2027-03-03,Vendedor 2,379.56
1524,Produto C,Categoria 2,69.34,12,2027-03-04,Vendedor 1,832.08
1525,Produto B,Categoria 1,91.88,17,2027-03-05,Vendedor 3,1561.96
1526,Produto A,Categoria 3,98.42,7,2027-03-06,Vendedor 1,688.94
1527,Produto A,Categoria 1,27.82,15,2027-03-07,Vendedor 1,417.3
1528,Produto B,Categoria 2,22.07,17,2027-03-08,Vendedor 2,375.19
1529,Produto C,Categoria 1,15.08,10,2027-03-09,Vendedor 1,150.8
1530,Produto B,Categoria 3,88.15,6,2027-03-10,Vendedor 1,528.9000000000001
1531,Produto C,Categoria 2,36.52,9,2027-03-11,Vendedor 1,328.68
1532,Produto A,Categoria 3,10.16,15,2027-03-12,Vendedor 3,152.4
1533,Produto C,Categoria 3,30.14,16,2027-03-13,Vendedor 3,482.24
1534,Produto B,Categoria 2,40.64,8,2027-03-14,Vendedor 2,325.12
1535,Produto A,Categoria 3,99.19,16,2027-03-15,Vendedor 2,1587.04
1536,Produto B,Categoria 3,57.12,5,2027-03-16,Vendedor 3,285.59999999999997
1537,Produto B,Categoria 1,28.42,18,2027-03-17,Vendedor 1,511.56000000000006
1538,Produto C,Categoria 3,40.13,14,2027-03-18,Vendedor 2,561.82
1539,Produto B,Categoria 3,39.73,2,2027-03-19,Vendedor 2,79.46
1540,Produto C,Categoria 3,11.78,3,2027-03-20,Vendedor 1,35.339999999999996
1541,Produto A,Categoria 3,22.17,14,2027-03-21,Vendedor 1,310.38
1542,Produto C,Categoria 2,72.57,7,2027-03-22,Vendedor 1,507.98999999999995
1543,Produto A,Categoria 1,20.82,15,2027-03-23,Vendedor 1,312.3
1544,Produto C,Categoria 3,30.77,17,2027-03-24,Vendedor 1,523.09
1545,Produto B,Categoria 3,41.57,1,2027-03-25,Vendedor 3,41.57
1546,Produto C,Categoria 2,78.2,9,2027-03-26,Vendedor 1,703.8000000000001
1547,Produto C,Categoria 3,62.42,14,2027-03-27,Vendedor 2,873.88
1548,Produto A,Categoria 2,72.01,16,2027-03-28,Vendedor 3,1152.16
1549,Produto B,Categoria 1,61.03,13,2027-03-29,Vendedor 2,793.39
1550,Produto C,Categoria 1,71.52,6,2027-03-30,Vendedor 1,429.12
1551,Produto B,Categoria 3,10.26,1,2027-03-31,Vendedor 2,10.26
1552,Produto C,Categoria 3,93.78,4,2027-04-01,Vendedor 1,375.12
1553,Produto C,Categoria 3,19.98,3,2027-04-02,Vendedor 2,59.94
1554,Produto B,Categoria 2,46.56,17,2027-04-03,Vendedor 2,791.52
1555,Produto C,Categoria 3,79.39,2,2027-04-04,Vendedor 1,158.78
1556,Produto B,Categoria 3,49.17,19,2027-04-05,Vendedor 2,934.23
1557,Produto C,Categoria 1,95.22,8,2027-04-06,Vendedor 3,761.76
1558,Produto A,Categoria 3,52.08,15,2027-04-07,Vendedor 2,781.1999999999999
1559,Produto B,Categoria 1,88.74,6,2027-04-08,Vendedor 3,532.4399999999999
1560,Produto C,Categoria 3,82.97,2,2027-04-09,Vendedor 3,165.94
1561,Produto C,Categoria 1,98.29,15,2027-04-10,Vendedor 2,1474.3500000000001
1562,Produto A,Categoria 3,93.39,12,2027-04-11,Vendedor 3,1120.68
1563,Produto B,Categoria 1,90.83,3,2027-04-12,Vendedor 3,272.49
1564,Produto C,Categoria 2,75.84,10,2027-04-13,Vendedor 2,758.4000000000001
1565,Produto A,Categoria 1,43.03,14,2027-04-14,Vendedor 1,602.4200000000001
1566,Produto C,Categoria 1,19.55,14,2027-04-15,Vendedor 1,273.7
1567,Produto B,Categoria 1,71.98,3,2027-04-16,Vendedor 3,215.94
1568,Produto C,Categoria 3,98.08,1,2027-04-17,Vendedor 3,98.08
1569,Produto C,Categoria 3,75.39,1,2027-04-18,Vendedor 1,75.39
1570,Produto C,Categoria 3,93.59,2,2027-04-19,Vendedor 3,187.18
1571,Produto C,Categoria 2,82.39,19,2027-04-20,Vendedor 1,1565.41
1572,Produto A,Categoria 2,24.68,10,2027-04-21,Vendedor 2,246.8
1573,Produto A,Categoria 1,32.43,4,2027-04-22,Vendedor 3,129.72
1574,Produto B,Categoria 2,40.77,4,2027-04-23,Vendedor 2,163.08
1575,Produto A,Categoria 1,25.14,13,2027-04-24,Vendedor 1,326.82
1576,Produto A,Categoria 1,62.35,9,2027-04-25,Vendedor 1,561.15
1577,Produto B,Categoria 1,97.79,7,2027-04-26,Vendedor 2,684.5300000000001
1578,Produto A,Categoria 2,78.53,16,2027-04-27,Vendedor 3,1256.48
1579,Produto A,Categoria 3,48.1,18,2027-04-28,Vendedor 2,865.8000000000001
1580,Produto B,Categoria 2,10.41,3,2027-04-29,Vendedor 2,31.23
1581,Produto B,Categoria 1,38.19,10,2027-04-30,Vendedor 3,381.9
1582,Produto B,Categoria 1,57.41,16,2027-05-01,Vendedor 1,918.56
1583,Produto C,Categoria 2,39.18,3,2027-05-02,Vendedor 2,117.53999999999999
1584,Produto C,Categoria 1,19.99,11,2027-05-03,Vendedor 2,219.89
1585,Produto B,Categoria 1,49.85,10,2027-05-04,Vendedor 1,498.5
1586,Produto B,Categoria 2,32.79,16,2027-05-05,Vendedor 2,524.64
1587,Produto B,Categoria 2,91.83,8,2027-05-06,Vendedor 1,734.64
1588,Produto C,Categoria 2,19.16,9,2027-05-07,Vendedor 3,172.44
1589,Produto C,Categoria 1,14.42,15,2027-05-08,Vendedor 1,216.3
1590,Produto A,Categoria 1,10.48,3,2027-05-09,Vendedor 1,31.44
1591,Produto A,Categoria 3,39.53,4,2027-05-10,Vendedor 2,158.12
1592,Produto B,Categoria 3,69.43,13,2027-05-11,Vendedor 1,902.5900000000001
1593,Produto C,Categoria 2,75.74,12,2027-05-12,Vendedor 1,908.8799999999999
1594,Produto C,Categoria 3,50.79,9,2027-05-13,Vendedor 2,457.11
1595,Produto C,Categoria 1,71.59,14,2027-05-14,Vendedor 1,1002.26
1596,Produto B,Categoria 3,42.39,19,2027-05-15,Vendedor 2,805.41
1597,Produto A,Categoria 1,70.1,7,2027-05-16,Vendedor 3,490.69999999999993
1598,Produto B,Categoria 2,13.65,16,2027-05-17,Vendedor 1,218.4
1599,Produto A,Categoria 2,45.17,5,2027-05-18,Vendedor 3,225.85000000000002
1600,Produto A,Categoria 1,81.18,10,2027-05-19,Vendedor 1,811.8000000000001
1601,Produto B,Categoria 3,82.27,18,2027-05-20,Vendedor 1,1480.86
1602,Produto A,Categoria 2,74.45,11,2027-05-21,Vendedor 3,818.95
1603,Produto A,Categoria 2,28.38,7,2027-05-22,Vendedor 3,198.66
1604,Produto C,Categoria 3,32.25,14,2027-05-23,Vendedor 2,451.5
1605,Produto A,Categoria 3,99.65,18,2027-05-24,Vendedor 2,1793.7
1606,Produto B,Categoria 1,19.3,11,2027-05-25,Vendedor 3,212.3
1607,Produto B,Categoria 3,26.26,12,2027-05-26,Vendedor 1,315.12
1608,Produto A,Categoria 3,21.7,18,2027-05-27,Vendedor 2,390.59999999999997
1609,Produto C,Categoria 3,39.49,2,2027-05-28,Vendedor 1,78.98
1610,Produto C,Categoria 1,28.92,1,2027-05-29,Vendedor 2,28.92
1611,Produto A,Categoria 1,54.79,10,2027-05-30,Vendedor 2,547.9
1612,Produto A,Categoria 2,52.84,1,2027-05-31,Vendedor 2,52.84
1613,Produto B,Categoria 1,91.14,6,2027-06-01,Vendedor 3,546.84
1614,Produto A,Categoria 2,13.13,7,2027-06-02,Vendedor 1,91.91000000000001
1615,Produto C,Categoria 3,38.79,17,2027-06-03,Vendedor 3,659.43
1616,Produto A,Categoria 2,63.7,9,2027-06-04,Vendedor 2,573.3000000000001
1617,Produto B,Categoria 2,64.43,7,2027-06-05,Vendedor 3,451.01000000000005
1618,Produto B,Categoria 3,53.21,17,2027-06-06,Vendedor 3,904.57
1619,Produto B,Categoria 2,83.41,3,2027-06-07,Vendedor 3,250.23
1620,Produto B,Categoria 1,15.64,16,2027-06-08,Vendedor 1,250.24
1621,Produto B,Categoria 1,83.39,5,2027-06-09,Vendedor 3,416.95
1622,Produto A,Categoria 1,54.53,18,2027-06-10,Vendedor 3,981.54
1623,Produto A,Categoria 1,22.04,1,2027-06-11,Vendedor 3,22.04
1624,Produto A,Categoria 2,89.71,4,2027-06-12,Vendedor 3,358.84
1625,Produto A,Categoria 2,68.43,11,2027-06-13,Vendedor 3,752.73
1626,Produto B,Categoria 3,24.72,9,2027-06-14,Vendedor 3,222.48
1627,Produto C,Categoria 2,13.03,8,2027-06-15,Vendedor 3,104.24
1628,Produto A,Categoria 2,22.7,8,2027-06-16,Vendedor 2,181.6
1629,Produto C,Categoria 2,64.79,5,2027-06-17,Vendedor 3,323.95000000000005
1630,Produto A,Categoria 3,26.14,12,2027-06-18,Vendedor 3,313.68
1631,Produto A,Categoria 1,30.32,1,2027-06-19,Vendedor 1,30.32
1632,Produto C,Categoria 2,12.26,15,2027-06-20,Vendedor 2,183.9
1633,Produto B,Categoria 3,75.06,18,2027-06-21,Vendedor 3,1351.08
1634,Produto A,Categoria 3,82.93,6,2027-06-22,Vendedor 1,497.58000000000004
1635,Produto A,Categoria 3,81.72,10,2027-06-23,Vendedor 3,817.2
1636,Produto A,Categoria 1,21.48,14,2027-06-24,Vendedor 3,300.72
1637,Produto C,Categoria 2,91.3,8,2027-06-25,Vendedor 3,730.4
1638,Produto B,Categoria 3,70.51,3,2027-06-26,Vendedor 3,211.53000000000003
1639,Produto C,Categoria 1,90.78,19,2027-06-27,Vendedor 3,1724.82
1640,Produto C,Categoria 3,50.24,12,2027-06-28,Vendedor 1,602.88
1641,Produto B,Categoria 3,49.33,12,2027-06-29,Vendedor 3,591.96
1642,Produto C,Categoria 3,80.61,15,2027-06-30,Vendedor 1,1209.15
1643,Produto B,Categoria 3,18.4,7,2027-07-01,Vendedor 3,128.79999999999998
1644,Produto A,Categoria 3,56.88,4,2027-07-02,Vendedor 1,227.52
1645,Produto B,Categoria 1,85.27,9,2027-07-03,Vendedor 2,767.43
1646,Produto A,Categoria 2,84.72,16,2027-07-04,Vendedor 3,1355.52
1647,Produto C,Categoria 2,96.05,13,2027-07-05,Vendedor 2,1248.6499999999999
1648,Produto C,Categoria 2,72.84,4,2027-07-06,Vendedor 2,291.36
1649,Produto A,Categoria 2,28.7,9,2027-07-07,Vendedor 2,258.3
1650,Produto C,Categoria 1,11.83,18,2027-07-08,Vendedor 3,212.94
1651,Produto B,Categoria 1,53.15,15,2027-07-09,Vendedor 2,797.25
1652,Produto A,Categoria 1,56.23,15,2027-07-10,Vendedor 1,843.4499999999999
1653,Produto C,Categoria 3,31.62,6,2027-07-11,Vendedor 3,189.72
1654,Produto A,Categoria 3,21.22,11,2027-07-12,Vendedor 2,233.42
1655,Produto B,Categoria 3,62.76,8,2027-07-13,Vendedor 3,502.08
1656,Produto B,Categoria 2,78.78,17,2027-07-14,Vendedor 2,1339.26
1657,Produto C,Categoria 3,99.38,17,2027-07-15,Vendedor 1,1689.46
1658,Produto B,Categoria 2,78.25,18,2027-07-16,Vendedor 3,1408.5
1659,Produto A,Categoria 3,81.43,4,2027-07-17,Vendedor 3,325.72
1660,Produto B,Categoria 2,65.48,15,2027-07-18,Vendedor 2,982.2
1661,Produto A,Categoria 3,98.73,2,2027-07-19,Vendedor 1,197.46
1662,Produto A,Categoria 3,67.6,2,2027-07-20,Vendedor 3,135.2
1663,Produto B,Categoria 1,87.42,10,2027-07-21,Vendedor 2,874.2
1664,Produto C,Categoria 3,95.12,3,2027-07-22,Vendedor 1,285.36
1665,Produto B,Categoria 3,93.69,8,2027-07-23,Vendedor 1,749.52
1666,Produto A,Categoria 1,44.33,7,2027-07-24,Vendedor 1,310.31
1667,Produto A,Categoria 2,17.08,12,2027-07-25,Vendedor 1,204.95999999999998
1668,Produto B,Categoria 1,25.47,19,2027-07-26,Vendedor 3,483.92999999999995
1669,Produto C,Categoria 1,15.33,15,2027-07-27,Vendedor 3,229.95
1670,Produto C,Categoria 2,19.49,14,2027-07-28,Vendedor 1,272.85999999999996
1671,Produto A,Categoria 3,26.62,16,2027-07-29,Vendedor 2,425.92
1672,Produto A,Categoria 2,40.7,14,2027-07-30,Vendedor 2,569.8000000000001
1673,Produto C,Categoria 3,58.92,3,2027-07-31,Vendedor 1,176.76
1674,Produto B,Categoria 3,74.05,18,2027-08-01,Vendedor 1,1332.8999999999999
1675,Produto A,Categoria 2,28.98,6,2027-08-02,Vendedor 2,173.88
1676,Produto A,Categoria 1,70.53,17,2027-08-03,Vendedor 1,1199.01
1677,Produto C,Categoria 2,73.38,14,2027-08-04,Vendedor 1,1027.32
1678,Produto B,Categoria 3,60.28,14,2027-08-05,Vendedor 3,843.9200000000001
1679,Produto C,Categoria 2,91.33,13,2027-08-06,Vendedor 3,1187.29
1680,Produto B,Categoria 2,19.99,3,2027-08-07,Vendedor 1,59.97
1681,Produto B,Categoria 3,25.94,13,2027-08-08,Vendedor 1,337.22
1682,Produto B,Categoria 1,48.58,2,2027-08-09,Vendedor 3,97.16
1683,Produto A,Categoria 2,21.4,9,2027-08-10,Vendedor 1,192.6
1684,Produto C,Categoria 3,60.97,13,2027-08-11,Vendedor 3,792.61
1685,Produto C,Categoria 3,45.86,8,2027-08-12,Vendedor 3,366.88
1686,Produto B,Categoria 2,35.61,16,2027-08-13,Vendedor 2,569.76
1687,Produto A,Categoria 1,25.3,3,2027-08-14,Vendedor 3,75.9
1688,Produto A,Categoria 2,40.18,13,2027-08-15,Vendedor 2,522.34
1689,Produto C,Categoria 1,64.72,4,2027-08-16,Vendedor 2,258.88
1690,Produto A,Categoria 1,61.82,18,2027-08-17,Vendedor 3,1112.76
1691,Produto A,Categoria 1,24.73,2,2027-08-18,Vendedor 1,49.46
1692,Produto B,Categoria 1,21.24,15,2027-08-19,Vendedor 3,318.59999999999997
1693,Produto A,Categoria 2,12.4,17,2027-08-20,Vendedor 2,210.8
1694,Produto B,Categoria 3,11.12,10,2027-08-21,Vendedor 3,111.19999999999999
1695,Produto C,Categoria 3,89.18,1,2027-08-22,Vendedor 3,89.18
1696,Produto A,Categoria 3,14.06,6,2027-08-23,Vendedor 2,84.36
1697,Produto C,Categoria 3,75.81,3,2027-08-24,Vendedor 3,227.43
1698,Produto C,Categoria 3,88.48,19,2027-08-25,Vendedor 3,1681.1200000000001
1699,Produto A,Categoria 3,18.83,7,2027-08-26,Vendedor 2,131.81
1700,Produto A,Categoria 2,49.27,13,2027-08-27,Vendedor 1,640.51
1701,Produto C,Categoria 1,96.61,13,2027-08-28,Vendedor 2,1255.93
1702,Produto A,Categoria 3,85.07,17,2027-08-29,Vendedor 2,1446.1899999999998
1703,Produto B,Categoria 2,54.07,1,2027-08-30,Vendedor 3,54.07
1704,Produto B,Categoria 3,78.63,14,2027-08-31,Vendedor 2,1100.82
1705,Produto A,Categoria 3,85.0,3,2027-09-01,Vendedor 3,255.0
1706,Produto C,Categoria 1,41.32,14,2027-09-02,Vendedor 3,578.48
1707,Produto A,Categoria 1,90.29,1,2027-09-03,Vendedor 3,90.29
1708,Produto A,Categoria 1,52.34,16,2027-09-04,Vendedor 2,837.44
1709,Produto C,Categoria 3,57.5,10,2027-09-05,Vendedor 2,575.0
1710,Produto C,Categoria 3,99.97,13,2027-09-06,Vendedor 3,1299.61
1711,Produto B,Categoria 3,85.9,4,2027-09-07,Vendedor 1,343.6
1712,Produto C,Categoria 1,42.56,9,2027-09-08,Vendedor 1,383.04
1713,Produto B,Categoria 2,10.93,14,2027-09-09,Vendedor 2,153.01999999999998
1714,Produto C,Categoria 3,66.36,4,2027-09-10,Vendedor 3,265.44
1715,Produto A,Categoria 3,73.35,10,2027-09-11,Vendedor 3,733.5
1716,Produto B,Categoria 3,68.57,8,2027-09-12,Vendedor 2,548.56
1717,Produto B,Categoria 2,97.11,3,2027-09-13,Vendedor 1,291.33
1718,Produto B,Categoria 3,87.67,7,2027-09-14,Vendedor 2,613.69
1719,Produto A,Categoria 2,50.39,10,2027-09-15,Vendedor 2,503.9
1720,Produto A,Categoria 3,15.66,3,2027-09-16,Vendedor 3,46.980000000000004
1721,Produto A,Categoria 2,52.85,2,2027-09-17,Vendedor 2,105.7
1722,Produto A,Categoria 3,72.03,15,2027-09-18,Vendedor 1,1080.45
1723,Produto A,Categoria 1,64.69,9,2027-09-19,Vendedor 2,582.21
1724,Produto B,Categoria 1,58.43,15,2027-09-20,Vendedor 3,876.45
1725,Produto A,Categoria 1,52.19,17,2027-09-21,Vendedor 1,887.23
1726,Produto B,Categoria 1,36.44,7,2027-09-22,Vendedor 3,255.07999999999998
1727,Produto A,Categoria 3,34.96,18,2027-09-23,Vendedor 2,629.28
1728,Produto C,Categoria 1,55.02,15,2027-09-24,Vendedor 2,825.3000000000001
1729,Produto B,Categoria 2,24.45,18,2027-09-25,Vendedor 2,440.09999999999997
1730,Produto C,Categoria 1,40.66,12,2027-09-26,Vendedor 3,487.91999999999996
1731,Produto B,Categoria 1,39.16,8,2027-09-27,Vendedor 2,313.28
1732,Produto C,Categoria 1,62.84,2,2027-09-28,Vendedor 1,125.68
1733,Produto A,Categoria 3,16.0,2,2027-09-29,Vendedor 1,32.0
1734,Produto A,Categoria 1,84.67,5,2027-09-30,Vendedor 3,423.35
1735,Produto A,Categoria 2,60.61,1,2027-10-01,Vendedor 3,60.61
1736,Produto B,Categoria 1,70.37,4,2027-10-02,Vendedor 3,281.48
1737,Produto C,Categoria 1,73.28,6,2027-10-03,Vendedor 2,439.68
1738,Produto A,Categoria 1,36.23,13,2027-10-04,Vendedor 1,470.98999999999995
1739,Produto C,Categoria 2,52.33,19,2027-10-05,Vendedor 1,994.27
1740,Produto C,Categoria 1,96.06,11,2027-10-06,Vendedor 1,1056.66
1741,Produto A,Categoria 2,79.0,13,2027-10-07,Vendedor 3,1027.0
1742,Produto A,Categoria 2,97.26,8,2027-10-08,Vendedor 3,778.08
1743,Produto C,Categoria 1,77.16,7,2027-10-09,Vendedor 2,540.12
1744,Produto A,Categoria 2,25.8,13,2027-10-10,Vendedor 3,335.40000000000003
1745,Produto A,Categoria 3,15.81,1,2027-10-11,Vendedor 1,15.81
1746,Produto A,Categoria 1,61.99,6,2027-10-12,Vendedor 2,371.94
1747,Produto B,Categoria 1,42.2,7,2027-10-13,Vendedor 3,295.40000000000003
1748,Produto C,Categoria 2,34.79,16,2027-10-14,Vendedor 3,556.64
1749,Produto C,Categoria 2,82.65,15,2027-10-15,Vendedor 1,1239.75
1750,Produto B,Categoria 1,43.03,2,2027-10-16,Vendedor 2,86.06
1751,Produto C,Categoria 3,38.53,16,2027-10-17,Vendedor 3,616.48
1752,Produto A,Categoria 2,86.5,17,2027-10-18,Vendedor 3,1470.5
1753,Produto C,Categoria 2,86.17,15,2027-10-19,Vendedor 2,1292.55
1754,Produto A,Categoria 3,42.07,3,2027-10-20,Vendedor 2,126.21000000000001
1755,Produto B,Categoria 3,84.92,4,2027-10-21,Vendedor 3,339.68
1756,Produto A,Categoria 1,86.57,12,2027-10-22,Vendedor 3,1038.84
1757,Produto C,Categoria 3,48.15,5,2027-10-23,Vendedor 1,240.75
1758,Produto C,Categoria 1,15.98,17,2027-10-24,Vendedor 2,271.66
1759,Produto C,Categoria 3,10.14,6,2027-10-25,Vendedor 3,60.84
1760,Produto B,Categoria 2,57.1,10,2027-10-26,Vendedor 3,571.0
1761,Produto B,Categoria 1,40.97,18,2027-10-27,Vendedor 3,737.46
1762,Produto C,Categoria 1,99.74,10,2027-10-28,Vendedor 3,997.4
1763,Produto A,Categoria 1,79.52,6,2027-10-29,Vendedor 1,477.12
1764,Produto B,Categoria 3,78.51,6,2027-10-30,Vendedor 2,471.06000000000006
1765,Produto C,Categoria 2,95.97,15,2027-10-31,Vendedor 3,1439.55
1766,Produto C,Categoria 1,89.9,4,2027-11-01,Vendedor 2,359.6
1767,Produto B,Categoria 1,38.64,16,2027-11-02,Vendedor 2,618.24
1768,Produto B,Categoria 1,24.94,8,2027-11-03,Vendedor 3,199.52
1769,Produto B,Categoria 1,77.13,7,2027-11-04,Vendedor 3,539.91
1770,Produto A,Categoria 2,44.04,19,2027-11-05,Vendedor 3,836.76
1771,Produto A,Categoria 3,52.59,17,2027-11-06,Vendedor 1,894.0300000000001
1772,Produto C,Categoria 2,66.74,13,2027-11-07,Vendedor 3,867.6199999999999
1773,Produto B,Categoria 1,91.71,15,2027-11-08,Vendedor 2,1375.6499999999999
1774,Produto A,Categoria 2,47.72,2,2027-11-09,Vendedor 2,95.44
1775,Produto B,Categoria 1,80.5,10,2027-11-10,Vendedor 1,805.0
1776,Produto C,Categoria 3,34.15,13,2027-11-11,Vendedor 3,443.95
1777,Produto A,Categoria 3,72.82,18,2027-11-12,Vendedor 3,1310.7599999999998
1778,Produto A,Categoria 3,10.14,11,2027-11-13,Vendedor 1,111.54
1779,Produto A,Categoria 1,88.44,13,2027-11-14,Vendedor 1,1149.72
